Month,conflict,eco,env,health,social
Apr-18,7123,2389,1978,3632,4822
Aug-18,6040.0,2004.0,1635.0,3076.0,3932.0
Dec-17,4555.0,1542.0,1236.0,2283.0,3088.0
Feb-18,5801.0,1956.0,1563.0,2967.0,3871.0
Jan-18,5461.0,1913.0,1478.0,2855.0,3553.0
Jul-18,6643,2213,1727,3329,4419
Jun-18,6811,2324,1790,3450,4534
Mar-18,6740.0,2279.0,1833.0,3457.0,4467.0
May-18,7681,2532,2015,3871,5080
Nov-18,6036.0,2059.0,1682.0,3097.0,4021.0
Oct-18,5901.0,1971.0,1567.0,2982.0,3983.0
Sep-18,5933.0,1954.0,1592.0,2931.0,3943.0
full_year,,,,,
